"Производитель";"Код";"Название";"Наличие"
"ABB                 ";"1012-0-2110                   ";"Механизм 1к.,1-п.перекл                 ";"4.00"
"ABB                 ";"1724-0-4280                   ";"ТВ-Розетка, слоновая кость              ";"5.00"
"ABB                 ";"1725-0-1484                   ";"Рамка с декор.накл.,1 пост, сл.кость    ";"35.00"
"ABB                 ";"1725-0-1486                   ";"Рамка с декоративной накладкой, 3 поста,";"2.00"
"ABB                 ";"1SAE341111R0640               ";"контактор модульный ESB40-40N-06        ";"7.00"
"ABB                 ";"1SAE351111R0640               ";"контактор модульный ESB63-40N-06        ";"14.00"
"ABB                 ";"1SAM201902R1001               ";"Боковые доп.контакты 1НО+1НЗ HK1-11 для ";"1.00"
"ABB                 ";"1SBE121111R0611               ";"контактор модульный ESB20-11N-06        ";"24.00"
"ABB                 ";"1SBE121111R0620               ";"контактор модульный ESB20-20N-06        ";"17.00"
"ABB                 ";"1SCA104857R1001               ";"Рубильник OT25F3 до 25А 3х-полюсный для ";"23.00"
"ABB                 ";"1SCA104863R1001               ";"Реверс. рубильник OT25F3С 25А на дин-рей";"82.00"
"ABB                 ";"1SCA104902R1001               ";"Рубильник OT40F3 до 40А  3х-полюсный    ";"7.00"
"ABB                 ";"1SCA104913R1001               ";"Реверс. рубильник OT40F3С 40А           ";"13.00"
"ABB                 ";"1SCA105332R1001               ";"Рубильник OT63F3 до 63А 3х-полюсный     ";"4.00"
"ABB                 ";"1SCA105338R1001               ";"Реверсивный рубильник OT63F3C до 63А    ";"61.00"
"ABB                 ";"1SCA105402R1001               ";"Реверсивный рубильник OT80F3C до 80А    ";"1.00"
"ABB                 ";"1SCA108688R1001               ";"Ручка OHRS3/1 красная для OT16..125F    ";"24.00"
"ABB                 ";"1SCA108690R1001               ";"Ручка OHRS9/1 для OT63..125F            ";"4.00"
"ABB                 ";"1SDA054599R1                  ";"Выкл.-разъединитель T5D 400 3p F F      ";"1.00"
"ABB                 ";"1SLM004101A1102               ";"Бокс в нишу Mistral41 8М непрозрачная дв";"8.00"
"ABB                 ";"1SLM004101A1103               ";"Бокс в нишу Mistral41 12М непрозрачная д";"22.00"
"ABB                 ";"1SLM004101A1104               ";"Бокс в нишу Mistral41 18М непрозрачная д";"8.00"
"ABB                 ";"1SLM004101A1105               ";"Бокс внутр Mistral41 24М непр. дв с кл  ";"18.00"
"ABB                 ";"1SLM004101A1106               ";"Бокс в нишу Mistral41 36М непрозрачная д";"16.00"
"ABB                 ";"1SLM004101A1107               ";"Бокс в нишу Mistral41 36М непрозрачная д";"16.00"
"ABB                 ";"1SLM004101A1108               ";"Бокс в нишу Mistral41 48М непрозрачная д";"23.00"
"ABB                 ";"1SLM004101A1109               ";"Бокс в нишу Mistral41 54М непрозрачная д";"13.00"
"ABB                 ";"1SLM004101A1110               ";"Бокс в нишу Mistral41 72М непрозрачная д";"26.00"
"ABB                 ";"1SLM004101A2202               ";"Бокс в нишу Mistral41 8М прозрачная двер";"11.00"
"ABB                 ";"1SLM004101A2203               ";"Бокс в нишу Mistral41 12М прозрачная две";"14.00"
